operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,ByteByByteWithBufferedStream,0,104857600,1980
WRITE,BlockByBlockWithBufferedStream,1,104857600,1730
WRITE,BlockByBlockWithBufferedStream,2,104857600,547
WRITE,BlockByBlockWithBufferedStream,3,104857600,414
WRITE,BlockByBlockWithBufferedStream,4,104857600,387
WRITE,BlockByBlockWithBufferedStream,5,104857600,342
WRITE,BlockByBlockWithBufferedStream,10,104857600,184
WRITE,BlockByBlockWithBufferedStream,20,104857600,126
WRITE,BlockByBlockWithBufferedStream,50,104857600,89
WRITE,BlockByBlockWithBufferedStream,100,104857600,79
WRITE,BlockByBlockWithBufferedStream,200,104857600,73
WRITE,BlockByBlockWithBufferedStream,256,104857600,62
WRITE,BlockByBlockWithBufferedStream,500,104857600,69
WRITE,BlockByBlockWithBufferedStream,512,104857600,62
WRITE,BlockByBlockWithBufferedStream,924,104857600,94
WRITE,BlockByBlockWithBufferedStream,1024,104857600,85
WRITE,BlockByBlockWithBufferedStream,1124,104857600,109
WRITE,BlockByBlockWithBufferedStream,1436,104857600,97
WRITE,BlockByBlockWithBufferedStream,1536,104857600,72
WRITE,BlockByBlockWithBufferedStream,1636,104857600,68
WRITE,BlockByBlockWithBufferedStream,1948,104857600,75
WRITE,BlockByBlockWithBufferedStream,2048,104857600,82
WRITE,BlockByBlockWithBufferedStream,2148,104857600,102
WRITE,BlockByBlockWithBufferedStream,2460,104857600,79
WRITE,BlockByBlockWithBufferedStream,2560,104857600,68
WRITE,BlockByBlockWithBufferedStream,2660,104857600,199
WRITE,BlockByBlockWithBufferedStream,2972,104857600,184
WRITE,BlockByBlockWithBufferedStream,3072,104857600,151
WRITE,BlockByBlockWithBufferedStream,3172,104857600,172
WRITE,BlockByBlockWithBufferedStream,3484,104857600,342
WRITE,BlockByBlockWithBufferedStream,3584,104857600,140
WRITE,BlockByBlockWithBufferedStream,3684,104857600,160
WRITE,BlockByBlockWithBufferedStream,3996,104857600,206
WRITE,BlockByBlockWithBufferedStream,4096,104857600,144
WRITE,BlockByBlockWithBufferedStream,4196,104857600,178
WRITE,BlockByBlockWithBufferedStream,4508,104857600,141
WRITE,BlockByBlockWithBufferedStream,4608,104857600,188
WRITE,BlockByBlockWithBufferedStream,4708,104857600,160
WRITE,BlockByBlockWithBufferedStream,5020,104857600,127
WRITE,BlockByBlockWithBufferedStream,5120,104857600,993
WRITE,BlockByBlockWithBufferedStream,5220,104857600,128
WRITE,BlockByBlockWithBufferedStream,5532,104857600,81
WRITE,BlockByBlockWithBufferedStream,5632,104857600,82
WRITE,BlockByBlockWithBufferedStream,5732,104857600,122
WRITE,BlockByBlockWithBufferedStream,6044,104857600,107
WRITE,BlockByBlockWithBufferedStream,6144,104857600,65
WRITE,BlockByBlockWithBufferedStream,6244,104857600,73
WRITE,BlockByBlockWithBufferedStream,6556,104857600,89
WRITE,BlockByBlockWithBufferedStream,6656,104857600,213
WRITE,BlockByBlockWithBufferedStream,6756,104857600,273
WRITE,BlockByBlockWithBufferedStream,7068,104857600,123
WRITE,BlockByBlockWithBufferedStream,7168,104857600,169
WRITE,BlockByBlockWithBufferedStream,7268,104857600,179
WRITE,BlockByBlockWithBufferedStream,7580,104857600,154
WRITE,BlockByBlockWithBufferedStream,7680,104857600,170
WRITE,BlockByBlockWithBufferedStream,7780,104857600,143
WRITE,BlockByBlockWithBufferedStream,8092,104857600,159
WRITE,BlockByBlockWithBufferedStream,8192,104857600,373
WRITE,BlockByBlockWithBufferedStream,8292,104857600,66
WRITE,ByteByByteWithoutBufferedStream,0,104857600,91575
WRITE,BlockByBlockWithoutBufferedStream,1,104857600,97667
WRITE,BlockByBlockWithoutBufferedStream,2,104857600,48743
WRITE,BlockByBlockWithoutBufferedStream,3,104857600,32760
WRITE,BlockByBlockWithoutBufferedStream,4,104857600,24392
WRITE,BlockByBlockWithoutBufferedStream,5,104857600,19563
WRITE,BlockByBlockWithoutBufferedStream,10,104857600,9851
WRITE,BlockByBlockWithoutBufferedStream,20,104857600,4943
WRITE,BlockByBlockWithoutBufferedStream,50,104857600,2050
WRITE,BlockByBlockWithoutBufferedStream,100,104857600,1058
WRITE,BlockByBlockWithoutBufferedStream,200,104857600,574
WRITE,BlockByBlockWithoutBufferedStream,256,104857600,455
WRITE,BlockByBlockWithoutBufferedStream,500,104857600,284
WRITE,BlockByBlockWithoutBufferedStream,512,104857600,263
WRITE,BlockByBlockWithoutBufferedStream,924,104857600,192
WRITE,BlockByBlockWithoutBufferedStream,1024,104857600,165
WRITE,BlockByBlockWithoutBufferedStream,1124,104857600,175
WRITE,BlockByBlockWithoutBufferedStream,1436,104857600,158
WRITE,BlockByBlockWithoutBufferedStream,1536,104857600,145
WRITE,BlockByBlockWithoutBufferedStream,1636,104857600,146
WRITE,BlockByBlockWithoutBufferedStream,1948,104857600,181
WRITE,BlockByBlockWithoutBufferedStream,2048,104857600,126
WRITE,BlockByBlockWithoutBufferedStream,2148,104857600,148
WRITE,BlockByBlockWithoutBufferedStream,2460,104857600,150
WRITE,BlockByBlockWithoutBufferedStream,2560,104857600,141
WRITE,BlockByBlockWithoutBufferedStream,2660,104857600,128
WRITE,BlockByBlockWithoutBufferedStream,2972,104857600,137
WRITE,BlockByBlockWithoutBufferedStream,3072,104857600,119
WRITE,BlockByBlockWithoutBufferedStream,3172,104857600,444
WRITE,BlockByBlockWithoutBufferedStream,3484,104857600,136
WRITE,BlockByBlockWithoutBufferedStream,3584,104857600,111
WRITE,BlockByBlockWithoutBufferedStream,3684,104857600,118
WRITE,BlockByBlockWithoutBufferedStream,3996,104857600,132
WRITE,BlockByBlockWithoutBufferedStream,4096,104857600,94
WRITE,BlockByBlockWithoutBufferedStream,4196,104857600,131
WRITE,BlockByBlockWithoutBufferedStream,4508,104857600,133
WRITE,BlockByBlockWithoutBufferedStream,4608,104857600,107
WRITE,BlockByBlockWithoutBufferedStream,4708,104857600,126
WRITE,BlockByBlockWithoutBufferedStream,5020,104857600,132
WRITE,BlockByBlockWithoutBufferedStream,5120,104857600,137
WRITE,BlockByBlockWithoutBufferedStream,5220,104857600,144
WRITE,BlockByBlockWithoutBufferedStream,5532,104857600,133
WRITE,BlockByBlockWithoutBufferedStream,5632,104857600,105
WRITE,BlockByBlockWithoutBufferedStream,5732,104857600,140
WRITE,BlockByBlockWithoutBufferedStream,6044,104857600,118
WRITE,BlockByBlockWithoutBufferedStream,6144,104857600,102
WRITE,BlockByBlockWithoutBufferedStream,6244,104857600,110
WRITE,BlockByBlockWithoutBufferedStream,6556,104857600,106
WRITE,BlockByBlockWithoutBufferedStream,6656,104857600,147
WRITE,BlockByBlockWithoutBufferedStream,6756,104857600,204
WRITE,BlockByBlockWithoutBufferedStream,7068,104857600,191
WRITE,BlockByBlockWithoutBufferedStream,7168,104857600,198
WRITE,BlockByBlockWithoutBufferedStream,7268,104857600,184
WRITE,BlockByBlockWithoutBufferedStream,7580,104857600,192
WRITE,BlockByBlockWithoutBufferedStream,7680,104857600,189
WRITE,BlockByBlockWithoutBufferedStream,7780,104857600,168
WRITE,BlockByBlockWithoutBufferedStream,8092,104857600,178
WRITE,BlockByBlockWithoutBufferedStream,8192,104857600,178
WRITE,BlockByBlockWithoutBufferedStream,8292,104857600,180
READ,ByteByByteWithBufferedStream,0,104857600,281
READ,BlockByBlockWithBufferedStream,1,104857600,933
READ,BlockByBlockWithBufferedStream,2,104857600,693
READ,BlockByBlockWithBufferedStream,3,104857600,469
READ,BlockByBlockWithBufferedStream,4,104857600,317
READ,BlockByBlockWithBufferedStream,5,104857600,272
READ,BlockByBlockWithBufferedStream,10,104857600,156
READ,BlockByBlockWithBufferedStream,20,104857600,97
READ,BlockByBlockWithBufferedStream,50,104857600,56
READ,BlockByBlockWithBufferedStream,100,104857600,42
READ,BlockByBlockWithBufferedStream,200,104857600,36
READ,BlockByBlockWithBufferedStream,256,104857600,32
READ,BlockByBlockWithBufferedStream,500,104857600,32
READ,BlockByBlockWithBufferedStream,512,104857600,28
READ,BlockByBlockWithBufferedStream,924,104857600,30
READ,BlockByBlockWithBufferedStream,1024,104857600,25
READ,BlockByBlockWithBufferedStream,1124,104857600,31
READ,BlockByBlockWithBufferedStream,1436,104857600,32
READ,BlockByBlockWithBufferedStream,1536,104857600,29
READ,BlockByBlockWithBufferedStream,1636,104857600,29
READ,BlockByBlockWithBufferedStream,1948,104857600,31
READ,BlockByBlockWithBufferedStream,2048,104857600,25
READ,BlockByBlockWithBufferedStream,2148,104857600,30
READ,BlockByBlockWithBufferedStream,2460,104857600,30
READ,BlockByBlockWithBufferedStream,2560,104857600,29
READ,BlockByBlockWithBufferedStream,2660,104857600,30
READ,BlockByBlockWithBufferedStream,2972,104857600,30
READ,BlockByBlockWithBufferedStream,3072,104857600,28
READ,BlockByBlockWithBufferedStream,3172,104857600,28
READ,BlockByBlockWithBufferedStream,3484,104857600,28
READ,BlockByBlockWithBufferedStream,3584,104857600,29
READ,BlockByBlockWithBufferedStream,3684,104857600,30
READ,BlockByBlockWithBufferedStream,3996,104857600,30
READ,BlockByBlockWithBufferedStream,4096,104857600,25
READ,BlockByBlockWithBufferedStream,4196,104857600,28
READ,BlockByBlockWithBufferedStream,4508,104857600,29
READ,BlockByBlockWithBufferedStream,4608,104857600,28
READ,BlockByBlockWithBufferedStream,4708,104857600,29
READ,BlockByBlockWithBufferedStream,5020,104857600,29
READ,BlockByBlockWithBufferedStream,5120,104857600,29
READ,BlockByBlockWithBufferedStream,5220,104857600,30
READ,BlockByBlockWithBufferedStream,5532,104857600,29
READ,BlockByBlockWithBufferedStream,5632,104857600,29
READ,BlockByBlockWithBufferedStream,5732,104857600,30
READ,BlockByBlockWithBufferedStream,6044,104857600,30
READ,BlockByBlockWithBufferedStream,6144,104857600,29
READ,BlockByBlockWithBufferedStream,6244,104857600,30
READ,BlockByBlockWithBufferedStream,6556,104857600,30
READ,BlockByBlockWithBufferedStream,6656,104857600,29
READ,BlockByBlockWithBufferedStream,6756,104857600,29
READ,BlockByBlockWithBufferedStream,7068,104857600,31
READ,BlockByBlockWithBufferedStream,7168,104857600,29
READ,BlockByBlockWithBufferedStream,7268,104857600,30
READ,BlockByBlockWithBufferedStream,7580,104857600,30
READ,BlockByBlockWithBufferedStream,7680,104857600,30
READ,BlockByBlockWithBufferedStream,7780,104857600,30
READ,BlockByBlockWithBufferedStream,8092,104857600,30
READ,BlockByBlockWithBufferedStream,8192,104857600,21
READ,BlockByBlockWithBufferedStream,8292,104857600,25
READ,ByteByByteWithoutBufferedStream,0,104857600,31785
READ,BlockByBlockWithoutBufferedStream,1,104857600,35255
READ,BlockByBlockWithoutBufferedStream,2,104857600,17737
READ,BlockByBlockWithoutBufferedStream,3,104857600,11925
READ,BlockByBlockWithoutBufferedStream,4,104857600,8967
READ,BlockByBlockWithoutBufferedStream,5,104857600,7085
READ,BlockByBlockWithoutBufferedStream,10,104857600,3499
READ,BlockByBlockWithoutBufferedStream,20,104857600,1840
READ,BlockByBlockWithoutBufferedStream,50,104857600,744
READ,BlockByBlockWithoutBufferedStream,100,104857600,380
READ,BlockByBlockWithoutBufferedStream,200,104857600,199
READ,BlockByBlockWithoutBufferedStream,256,104857600,153
READ,BlockByBlockWithoutBufferedStream,500,104857600,87
READ,BlockByBlockWithoutBufferedStream,512,104857600,85
READ,BlockByBlockWithoutBufferedStream,924,104857600,58
READ,BlockByBlockWithoutBufferedStream,1024,104857600,52
READ,BlockByBlockWithoutBufferedStream,1124,104857600,50
READ,BlockByBlockWithoutBufferedStream,1436,104857600,46
READ,BlockByBlockWithoutBufferedStream,1536,104857600,40
READ,BlockByBlockWithoutBufferedStream,1636,104857600,42
READ,BlockByBlockWithoutBufferedStream,1948,104857600,41
READ,BlockByBlockWithoutBufferedStream,2048,104857600,37
READ,BlockByBlockWithoutBufferedStream,2148,104857600,39
READ,BlockByBlockWithoutBufferedStream,2460,104857600,35
READ,BlockByBlockWithoutBufferedStream,2560,104857600,33
READ,BlockByBlockWithoutBufferedStream,2660,104857600,35
READ,BlockByBlockWithoutBufferedStream,2972,104857600,32
READ,BlockByBlockWithoutBufferedStream,3072,104857600,30
READ,BlockByBlockWithoutBufferedStream,3172,104857600,29
READ,BlockByBlockWithoutBufferedStream,3484,104857600,29
READ,BlockByBlockWithoutBufferedStream,3584,104857600,28
READ,BlockByBlockWithoutBufferedStream,3684,104857600,30
READ,BlockByBlockWithoutBufferedStream,3996,104857600,28
READ,BlockByBlockWithoutBufferedStream,4096,104857600,24
READ,BlockByBlockWithoutBufferedStream,4196,104857600,28
READ,BlockByBlockWithoutBufferedStream,4508,104857600,27
READ,BlockByBlockWithoutBufferedStream,4608,104857600,27
READ,BlockByBlockWithoutBufferedStream,4708,104857600,25
READ,BlockByBlockWithoutBufferedStream,5020,104857600,28
READ,BlockByBlockWithoutBufferedStream,5120,104857600,24
READ,BlockByBlockWithoutBufferedStream,5220,104857600,26
READ,BlockByBlockWithoutBufferedStream,5532,104857600,26
READ,BlockByBlockWithoutBufferedStream,5632,104857600,25
READ,BlockByBlockWithoutBufferedStream,5732,104857600,26
READ,BlockByBlockWithoutBufferedStream,6044,104857600,24
READ,BlockByBlockWithoutBufferedStream,6144,104857600,24
READ,BlockByBlockWithoutBufferedStream,6244,104857600,25
READ,BlockByBlockWithoutBufferedStream,6556,104857600,24
READ,BlockByBlockWithoutBufferedStream,6656,104857600,24
READ,BlockByBlockWithoutBufferedStream,6756,104857600,24
READ,BlockByBlockWithoutBufferedStream,7068,104857600,24
READ,BlockByBlockWithoutBufferedStream,7168,104857600,21
READ,BlockByBlockWithoutBufferedStream,7268,104857600,22
READ,BlockByBlockWithoutBufferedStream,7580,104857600,24
READ,BlockByBlockWithoutBufferedStream,7680,104857600,24
READ,BlockByBlockWithoutBufferedStream,7780,104857600,22
READ,BlockByBlockWithoutBufferedStream,8092,104857600,22
READ,BlockByBlockWithoutBufferedStream,8192,104857600,21
READ,BlockByBlockWithoutBufferedStream,8292,104857600,24
